url;full_id;osm_id;name2;name1;person:name;Napis_na_pomniku;Opis;Artysta;Powstanie;Nazwa;memorial
https://pl.wikipedia.org/wiki/Pomnik jeńców francuskich w Poznaniu;n4304978457;4304978457;;;;Brak;Brak;Brak;1934;Pomnik jeńców francuskich;obelisk
https://pl.wikipedia.org/wiki/Pomniki i rzeźby na Cytadeli w Poznaniu#Pomniki;n4304978458;4304978458;;;;Brak;Brak;Brak;Brak;Zygmunt Berling;bust
https://pl.wikipedia.org/wiki/Pomnik Adwokatów Czerwca '56;n4319983751;4319983751;;;;Brak;Pomnik poświęcony adwokatom, niezłomnych obrońcom w procesach Czerwca 1956r. i procesach politycznych;Andrzej Kurzawski;2010;Pomnik Adwokatów Poznańskiego Czerwca 1956;
Brak;n4336106949;4336106949;;;;Pamięci Cegielszczaków poległych w czasie II Wojny Światowej w czerwcu 1956 roku i na posterunku pracy;Brak;Anna Krzymańska;1963;Pomnik poległych Cegielszczaków;
Brak;n4336106951;4336106951;;;;W 43 rocznicę tragicznego września 1939 roku załoga Zakładów H. Cegielski poświęca tę tablicę pamięci Robotniczego Plutonu Obrony Przeciwlotniczej HCP, który w pierwszych dniach wojny skutecznie odpierał ataki hitlerowskiego lotnictwa na miasto Poznań.;Brak;Marian Banasiewicz;1982;Pomnik Robotniczego Plutonu Obrony Przeciwlotniczej HCP;
Brak;n4336899453;4336899453;;;;Stąd upomniano się po raz pierwszy o prawo do ludzkiej godności. W 25-tą rocznicę Wydarzeń Czerwcowych 1956 Cegielszczacy 28 VI 1981;Brak;Brak;Brak;25. rocznica Wydarzeń Czerwcowych 1956;plate
Brak;n4340776835;4340776835;;;;Brak;Miejsce kaplicy pałacowej Mieszka I i Dobrawy 966 rok;Brak;Brak;Miejsce kaplicy pałacowej;
https://pl.wikipedia.org/wiki/Pomnik Harcerski przy ul. Bukowskiej w Poznaniu;n4340896329;4340896329;;;;W dniu I września 1939 w czasie pełnienia służby patrolowej w rejonie byłej Radiostacji Poznańskiej polegli od wybuchu bomby niemieckiej jedni z pierwszych poznańskich harcerzy dh Edward Pietrzykowski (…) dh Henryk Wysocki.;Pomnik upamiętniający pierwszych poległych harcerzy w dniu 1.09.1939r.;Benedykt Kasznia;1985;Pomnik poległych harcerzy;war_memorial
Brak;n4340969113;4340969113;;;;Pamięci osób zasłużonych dla powstania i rozwoju Ogrodu Botanicznego w Poznaniu w 50-tą rocznicę jego założenia 13 września 1975 r.;Brak;Brak;Brak;Głaz zasłużonych dla Ogrodu Botanicznego;
Brak;n4342519014;4342519014;;;;Brak;Brak;Brak;Brak;Samuel Dambrowski;
Brak;n4344588176;4344588176;;;;Brak;Tablica informująca, że w tym budynku w latach 1939 - 1945 mieściła się siedziba Gestapo;P. Andruszko;1984;Miejsce siedziby Gestapo;plaque
https://pl.wikipedia.org/wiki/Pomnik Edwarda Taylora i Zbigniewa Zakrzewskiego w Poznaniu;n4344762091;4344762091;;;;Brak;Brak;Wiesław Koronowski;2011;Edward Taylor;statue
https://pl.wikipedia.org/wiki/Pomnik Edwarda Taylora i Zbigniewa Zakrzewskiego w Poznaniu;n4344762093;4344762093;;;;Brak;Brak;Wiesław Koronowski;2011;Zbigniew Zakrzewski;statue
Brak;n4350110582;4350110582;;;;Krzysztofowi Skubiszewskiemu 8 X 1926-8 II 2010 Ministrowi Spraw Zagranicznych 1989-1993, twórcy suwerennej polityki zagranicznej niepodległej Ojczyzny, wybitnemu Mężowi Stanu w 25 rocznicę powołania na urząd Ministra Spraw Zagranicznych - Rodacy;Brak;Brak;Brak;Krzysztof Skubiszewski;plaque
Brak;n4352578575;4352578575;;;;W tym zamku najjaśniejszy Pan Jan Olbracht Król Polski i Wielki Książę Litewski w dniu 29 maja 1493 roku przyjął hołd lenny z Ziemi Pruskiej i przysięgę wierności Rzeczypospolitej od Wielkiego Mistrza Krzyżackiego Hansa von Tieffena;Brak;Benedykt Kasznia;1993;Miejsce hołdu lennego i przysięgi wierności;plaque
Brak;n4352578576;4352578576;;;;Brak;Brak;Benedykt Kasznia;1995;Król Przemysł II;plaque
Brak;n4353572100;4353572100;;;;Głównym dowódcom Powstania Wielkopolskiego gen. Stanisławowi Taczakowi, gen. Józefowi Dowbór-Muśnickiemu ku czci ich czynów oraz na wieczną pamiątkę powrotu Poznańskiego do Macierzy tablicę tę ufundowali Wielkopolanie, grudzień 1988;Brak;Jerzy Kopczyński;1988;Tablica dowódców Powstania Wielkopolskiego;plaque
Brak;n4362675142;4362675142;;;;Brak;Brak;Brak;Brak;Matka Boża;statue
Brak;n4363226728;4363226728;;;;Brak;Brak;Brak;Brak;Matka Boża;statue
Brak;n4379108632;4379108632;;;;Brak;Brak;Brak;Brak;Jarosław Ziętara;
Brak;n4381179402;4381179402;;;;Brak;Brak;Brak;Brak;Św. Franciszek z Asyżu;statue
https://pl.wikipedia.org/wiki/Głaz Energetyków w Poznaniu;n4399022976;4399022976;;;;Brak;Głaz upamiętniający pracowników Energetyki Poznańskiej, ofiar II Wojny Światowej;Brak;1979;Głaz energetyków;stone
https://pl.wikipedia.org/wiki/Kaplica_Zwiastowania_Najświętszej_Maryi_Panny_w_Poznaniu#/media/File:Kaplica_Zwiastowania_NMP_Pozna%C5%84_02.jpg;n4411599137;4411599137;;;;Brak;Brak;Brak;Brak;Jezus Chrystus ze św. Piotrem;
https://pl.wikipedia.org/wiki/Pomnik Zwycięstwa w Parku Manitiusa w Poznaniu;n4418581460;4418581460;;;;Brak;Brak;Ryszard Skupin;1968;Pomnik Zwycięstwa;
Brak;n4447980968;4447980968;;;;POWODZ R:1736 DNA 9: IVLII;Brak;Brak;Brak;Powódź 1736;
Brak;n4469726996;4469726996;;;;Brak;Brak;Brak;Brak;Jan Paweł II;stone
Brak;n4511759254;4511759254;;;;Brak;Brak;Brak;Brak;Matka Boża;statue
Brak;n4555488069;4555488069;;;;Brak;Brak;Brak;Brak;Bóg Honor Ojczyzna;plaque
Brak;n4555488105;4555488105;;;;Brak;Brak;Brak;Brak;Kościół pw. Najświętszej Bogarodzicy Maryi;plaque
https://pl.wikipedia.org/wiki/Pomnik Siewcy w Poznaniu;n4559878785;4559878785;;;;Brak;Brak;Marcin Rożek;1979;Siewca;statue
Brak;n4583817399;4583817399;;;;Brak;Brak;Brak;Brak;Matka Boża;statue
https://pl.wikipedia.org/wiki/Kapliczki przydrożne na Żegrzu i Ratajach w Poznaniu#Kapliczka Serca Jezusa;n4583817456;4583817456;;;;Brak;Brak;Brak;Brak;Serce Jezusa;statue
https://pl.wikipedia.org/wiki/Pomnik Poległych w Powstaniu Poznańskim;n4698862711;4698862711;;;;Brak;Brak;Józef Petruk;1996;Pomnik Poległych w Powstaniu Poznańskim;stone
Brak;n4704949939;4704949939;;;;Brak;Tablica upamiętniająca miejsce zamieszkania Krystyny Feldman w latach 1979-2007;Brak;2008;Miejsce zamieszkania Krystyny Feldman;plaque
Brak;n4759835521;4759835521;;;;Brak;Brak;Brak;Brak;Pomnik miłośników Dębiny;
https://pl.wikipedia.org/wiki/Pomnik Katyński w Poznaniu#Głaz na Ogrodach;n4772842185;4772842185;;;;Brak;Pomnik Ofiar Zbrodni Katyńskiej 1940 roku: ppor W. Dewojno, mjr W. Hardego i kpt A. Kowalczyka;Brak;2010;Głaz ofiar zbrodni katyńskiej 1940;stone
Brak;n4916755734;4916755734;;;;KASIA MUSIAŁ 27 lat Zginęła 01.04.2010;Brak;Brak;Brak;Biały rower;ghost_bike
Brak;n4916755735;4916755735;;;;Andrzej, 19 lat, 19.07.2014;Brak;Brak;Brak;Biały rower;ghost_bike
Brak;n4935294692;4935294692;;;;Brak;Tablica informująca o miejscu modlitwy Jana Pawła II w 1997 r.;Brak;Brak;Miejsce modlitwy Jana Pawła II;plaque
Brak;n4937896054;4937896054;;;;Brak;Brak;Brak;2013;Biały rower;
https://pl.wikipedia.org/wiki/Kaplica_Zwiastowania_Najświętszej_Maryi_Panny_w_Poznaniu#/media/File:Kaplica_Zwiastowania_NMP_Pozna%C5%84_06.jpg;n4955688940;4955688940;;;;Brak;Brak;Brak;Brak;Jezus Chrystus;statue
https://pl.wikipedia.org/wiki/Pomnik Pomordowanych Policjantów II RP Województwa Poznańskiego;n5002773445;5002773445;;;;Brak;Pomnik poświęcony pomordowanym przez NKWD policjantom z Województwa Poznańskiego w 1940r.;Brak;2010;Pomnik Pomordowanych Policjantów II RP;
Brak;n5063813620;5063813620;;;;Brak;Pomnik na mogile zbiorowej 57 nieznanych ofiar niemieckiego bombardowania Poznania 1.9.1939 r.;Brak;1965;Pomnik nagrobny ofiar hitlerowskiego bombardowania;
Brak;n5064781827;5064781827;;;;Park Tysiąclecia - zbudowany czynem społecznym załogi i mieszkańców dzielnicy Nowe Miasto;Brak;Brak;1966;Park Tysiąclecia;obelisk
https://pl.wikipedia.org/wiki/Pomnik SS Poznań;n5086338733;5086338733;;;;Brak;Brak;Brak;1975;Pomnik statku SS Poznań;
https://pl.wikipedia.org/wiki/Ławeczka Klemensa Mikuły w Poznaniu;n5121641755;5121641755;;;;Brak;Brak;Brak;2017;Ławka Klemensa Mikuły;bench
Brak;n5124236953;5124236953;;;;Brak;Brak;Brak;Brak;Matka Boża;statue
Brak;n5130606517;5130606517;;;;Brak;Brak;Brak;Brak;Antoni Bazaniak;stone
https://pl.wikipedia.org/wiki/Głaz Kazimierza Nowakowskiego;n5434738612;5434738612;;;;Brak;Brak;Jerzy Sobociński;1980;Kazimierz Nowakowski;stone
Brak;n5434812518;5434812518;;;;Brak;Brak;Brak;1945;Św. Jan Nepomucen;statue
https://pl.wikipedia.org/wiki/Pomnik Czesława Piotrowskiego w Poznaniu;n5472335577;5472335577;;;;Brak;Brak;Krzysztof Jakubik;2017;Ks. Czesław Piotrowski;statue
Brak;n5472350510;5472350510;;;;Brak;Brak;Brak;Brak;Matka Boża;statue
Brak;n5472350511;5472350511;;;;Brak;Brak;Brak;Brak;Św. Paweł;statue
Brak;n5472350512;5472350512;;;;Brak;Brak;Brak;Brak;Św. Piotr;statue
https://pl.wikipedia.org/wiki/Pomnik stulecia Polskiego Związku Wędkarskiego w Poznaniu;n5488999387;5488999387;;;;100-lecie Polskiego Związku Wędkarskiego i 5 lecie Koła Rataje. W czynie społecznym dla S.M. Osiedla Młodych Wędkarze Rataj;Brak;Władysław Gniot;1979;100-lecie Polskiego Związku Wędkarskiego;
Brak;n5566789854;5566789854;;;;Brak;Brak;Adam Wójkiewicz;2019;Ławka prof. Eugeniusza Piaseckiego;bench
https://pl.wikipedia.org/wiki/Pomniki Jana Pawła II w Poznaniu#Pomnik przy kościele pw. Karola Boromeusza;n5580956131;5580956131;;;;Brak;Brak;Brak;2016;Jan Paweł II;statue
Brak;n5585753422;5585753422;;;;Brak;Brak;Brak;1935;Pomnik ks. Zygmunta Masłowskiego;
https://pl.wikipedia.org/wiki/Głaz Franciszka Jaśkowiaka w Poznaniu;n5611305684;5611305684;;;;Pamięci Franciszka Jaśkowiaka / 1903 – 1983 / krajoznawcy, wybitnego przewodnika, orędownika ochrony przyrody i zabytków / Koło Przewodników PTTK / Poznań 5 X 2003;Brak;Brak;2003;Franciszek Jaśkowiak;stone
Brak;n5617159780;5617159780;;;;Brak;Brak;Brak;Brak;Serce Jezusa;statue
Brak;n5617159785;5617159785;;;;Brak;Brak;Brak;Brak;Jezus Chrystus;statue
Brak;n6027125044;6027125044;;;;Brak;Brak;Brak;Brak;Matka Boża;statue
Brak;n6047417495;6047417495;;;;Brak;Pomnik ze słowami homilii Jana Pawła II wygłoszonej w Poznaniu w 1983r.;Brak;Brak;Wizyta Jana Pawła II w Poznaniu;stone
Brak;n6047417496;6047417496;;;;Brak;Brak;Stanisław Mystek;2006;Abp. Walenty Dymek;bust
Brak;n6061562014;6061562014;;;;Brak;Brak;Brak;Brak;Tablica pamiątkowa działań wojsk amerykańskich;plaque
https://pl.wikipedia.org/wiki/Pomnik Mikołaja Kopernika w Poznaniu;n6131415608;6131415608;;;;Brak;Brak;Brak;1969;Mikołaj Kopernik;bust
https://pl.wikipedia.org/wiki/Pomnik Roberta Jaeckla w Poznaniu;n6327882814;6327882814;;;;Brak;Brak;August Gaul;1910;Pomnik Roberta Jaeckla;
Brak;n6356724450;6356724450;;;;Brak;Brak;Brak;Brak;Gen. bryg. Alfons Maćkowiak;stone
